id,price
7715,2
13196,3
13194,2
4673,2
11325,1
13107,4
1245,4
5978,1
5953,3
2647,2
5198,1
2953,1
7895,1
12310,3
3954,1
8483,1
9823,2
7329,3
11618,3
9008,2
9061,3
7184,2
13246,2
5605,3
4928,3
11559,4
830,4
103,3
9457,1
1014,4
2152,3
8468,3
11271,2
5656,1
10573,3
3587,3
10313,4
5417,1
5955,1
4982,1
8648,4
10726,4
70,4
1592,1
12518,4
6342,4
12563,4
4713,1
13012,2
8560,2
8861,2
7486,3
1242,1
7154,1
5163,1
668,2
7337,1
2970,4
8632,3
11373,3
7706,2
1280,3
2727,1
6125,2
4964,1
1397,4
13446,2
3216,4
3874,1
334,1
1735,4
5981,3
12121,2
3214,3
10155,2
13645,2
1177,3
11067,3
8339,1
5267,4
10878,2
11579,2
4817,1
1179,3
9465,2
7743,4
12677,1
2646,3
3708,1
6574,1
7656,1
9335,2
8848,3
11290,2
7025,1
8033,4
4683,4
7283,2
11688,3
1959,2
3402,2
217,2
11856,2
1708,3
265,3
8952,2
235,1
10977,3
11506,1
3322,1
2416,3
5186,1
5559,4
1856,3
5064,3
2678,1
2896,4
13082,4
5132,3
4231,1
2994,1
5043,4
4805,1
6038,1
9586,2
11019,2
1637,3
3512,1
7061,1
2765,4
9545,2
8800,2
1137,3
1760,3
1519,1
12791,4
9354,3
5771,4
91,3
13470,2
3470,4
6973,3
4676,4
1842,4
3928,4
2583,3
1352,4
10447,3
7419,2
7606,4
7420,2
8283,1
5742,4
10071,2
6866,3
12086,2
11404,3
1189,3
3525,4
2349,1
5865,2
11413,2
7789,3
2405,4
8453,3
10607,2
13381,2
4694,4
5711,1
7529,1
5564,4
7045,1
2502,1
5431,4
12306,1
11466,3
11954,2
11031,4
5661,4
1671,3
11277,3
206,4
11117,4
3629,2
11613,2
10217,2
4283,2
9122,4
3016,2
4020,3
1767,2
7346,2
6636,1
2480,4
1058,1
6476,1
968,3
2090,1
357,1
8949,1
10955,4
8021,3
11348,1
13749,1
2591,2
13112,2
13228,2
6849,3
4418,4
12591,2
3769,3
6642,1
5804,2
11344,2
303,4
4712,4
5954,3
6475,3
11974,3
8813,4
10859,2
1639,4
5811,2
6878,1
9207,1
11852,3
5205,2
14,3
2858,3
1702,4
11273,3
6630,3
7761,3
9047,4
3976,3
5164,4
1031,2
6357,2
1401,4
7857,1
7211,2
5951,1
11952,3
12246,1
8065,4
9209,2
11951,1
3918,2
10013,4
3392,4
10500,2
5407,1
2879,1
10099,2
2160,4
3277,1
11875,2
13647,2
12592,2
970,4
1303,3
10179,2
803,2
5367,1
11694,2
8743,4
8071,1
2586,1
9086,1
10325,2
10680,3
3265,3
7537,1
1978,1
9570,3
13536,3
7838,1
6939,1
13440,3
12158,3
13045,2
9162,2
11623,3
3861,2
6428,2
13076,2
7833,2
6640,2
6414,2
1863,3
3373,3
11262,2
12111,1
12897,2
571,3
8130,1
352,3
5604,2
4402,1
11281,4
5971,3
7480,3
2746,3
2220,1
